DisNo.,Disaster Type,ISO,Country,Start Date,End Date,Total Deaths,No. Affected,Admin1,Admin1 Code
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-23,2024-11-23,,,Warrap,SSD_Warrap
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-24,2024-11-24,,,Warrap,SSD_Warrap
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-25,2024-11-25,,,Warrap,SSD_Warrap
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-26,2024-11-26,,,Warrap,SSD_Warrap
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-27,2024-11-27,,,Warrap,SSD_Warrap
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-03,2024-11-03,,,Western Bahr-El-Ghazal,SSD_Western Bahr el Ghaz
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-04,2024-11-04,,,Western Bahr-El-Ghazal,SSD_Western Bahr el Ghaz
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-05,2024-11-05,,,Western Bahr-El-Ghazal,SSD_Western Bahr el Ghaz
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-06,2024-11-06,,,Western Bahr-El-Ghazal,SSD_Western Bahr el Ghaz
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-07,2024-11-07,,,Western Bahr-El-Ghazal,SSD_Western Bahr el Ghaz
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-23,2024-11-23,,,Western Bahr-El-Ghazal,SSD_Western Bahr el Ghaz
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-24,2024-11-24,,,Western Bahr-El-Ghazal,SSD_Western Bahr el Ghaz
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-25,2024-11-25,,,Western Bahr-El-Ghazal,SSD_Western Bahr el Ghaz
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-26,2024-11-26,,,Western Bahr-El-Ghazal,SSD_Western Bahr el Ghaz
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-27,2024-11-27,,,Western Bahr-El-Ghazal,SSD_Western Bahr el Ghaz
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-03,2024-11-03,,,Western Equatoria,SSD_Western Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-04,2024-11-04,,,Western Equatoria,SSD_Western Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-05,2024-11-05,,,Western Equatoria,SSD_Western Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-06,2024-11-06,,,Western Equatoria,SSD_Western Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-07,2024-11-07,,,Western Equatoria,SSD_Western Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-23,2024-11-23,,,Western Equatoria,SSD_Western Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-24,2024-11-24,,,Western Equatoria,SSD_Western Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-25,2024-11-25,,,Western Equatoria,SSD_Western Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-26,2024-11-26,,,Western Equatoria,SSD_Western Equatoria
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-27,2024-11-27,,,Western Equatoria,SSD_Western Equatoria
