DisNo.,Disaster Type,ISO,Country,Start Date,End Date,Total Deaths,No. Affected,Admin1,Admin1 Code
2024-0241-SOM,Flood,SOM,Somalia,2024-04-19,2024-05-02,9,226000,Nugaal,SOM_Nugaal
2024-0241-SOM,Flood,SOM,Somalia,2024-04-19,2024-05-02,9,226000,Togdheer,SOM_Togdheer
2024-0241-SOM,Flood,SOM,Somalia,2024-04-19,2024-05-02,9,226000,Woqooyi Galbeed,SOM_Woqooyi Galbeed
2023-0809-BDI,Flood,BDI,Burundi,2023-10-26,2023-12-27,7,9312,,
2023-0741-SOM,Flood,SOM,Somalia,2023-09-01,2023-11-20,118,2480000,Bay,SOM_Bay
2023-0741-SOM,Flood,SOM,Somalia,2023-09-01,2023-11-20,118,2480000,Ged,SOM_Gedo
2023-0741-SOM,Flood,SOM,Somalia,2023-09-01,2023-11-20,118,2480000,Bakool,SOM_Bakool
2023-0741-SOM,Flood,SOM,Somalia,2023-09-01,2023-11-20,118,2480000,Galmudug,SOM_Mudug
2023-0741-SOM,Flood,SOM,Somalia,2023-09-01,2023-11-20,118,2480000,Awdal,SOM_Awdal
2023-0741-SOM,Flood,SOM,Somalia,2023-09-01,2023-11-20,118,2480000,Bari,SOM_Bari
2023-0741-SOM,Flood,SOM,Somalia,2023-09-01,2023-11-20,118,2480000,Nugaal,SOM_Nugaal
2023-0741-SOM,Flood,SOM,Somalia,2023-09-01,2023-11-20,118,2480000,Togdheer,SOM_Togdheer
2023-0741-SOM,Flood,SOM,Somalia,2023-09-01,2023-11-20,118,2480000,Woqooyi Galbeed,SOM_Woqooyi Galbeed
2023-0683-SOM,Flood,SOM,Somalia,2023-10-01,2023-10-01,4,278000,,
2013-0123-KEN,Flood,KEN,Kenya,2013-03-10,2013-04-30,96,100000,,
2013-0123-KEN,Flood,KEN,Kenya,2013-03-10,2013-04-30,96,100000,,
2013-0123-KEN,Flood,KEN,Kenya,2013-03-10,2013-04-30,96,100000,,
2013-0123-KEN,Flood,KEN,Kenya,2013-03-10,2013-04-30,96,100000,,
2013-0123-KEN,Flood,KEN,Kenya,2013-03-10,2013-04-30,96,100000,,
2013-0123-KEN,Flood,KEN,Kenya,2013-03-10,2013-04-30,96,100000,,
2013-0123-KEN,Flood,KEN,Kenya,2013-03-10,2013-04-30,96,100000,,
2013-0123-KEN,Flood,KEN,Kenya,2013-03-10,2013-04-30,96,100000,,
2013-0123-KEN,Flood,KEN,Kenya,2013-03-10,2013-04-30,96,100000,,
2013-0123-KEN,Flood,KEN,Kenya,2013-03-10,2013-04-30,96,100000,,
2013-0123-KEN,Flood,KEN,Kenya,2013-03-10,2013-04-30,96,100000,,
2013-0125-ETH,Flood,ETH,Ethiopia,2013-04-10,2013-04-30,,51500,,
2013-0197-UGA,Flood,UGA,Uganda,2013-05-01,2013-05-05,13,25445,Kasese,UGA_Western Region
2013-0281-KEN,Flood,KEN,Kenya,2013-08-05,2013-08-07,,5000,,
2013-0288-SOM,Flood,SOM,Somalia,2013-05-01,2013-05-16,7,50000,Bay,SOM_Bay
2013-0288-SOM,Flood,SOM,Somalia,2013-05-01,2013-05-16,7,50000,Gedo,SOM_Gedo
2013-0288-SOM,Flood,SOM,Somalia,2013-05-01,2013-05-16,7,50000,,SOM_Bakool
2013-0288-SOM,Flood,SOM,Somalia,2013-05-01,2013-05-16,7,50000,,SOM_Banadir
2013-0288-SOM,Flood,SOM,Somalia,2013-05-01,2013-05-16,7,50000,,SOM_Galgaduud
2013-0288-SOM,Flood,SOM,Somalia,2013-05-01,2013-05-16,7,50000,,SOM_Mudug
2013-0288-SOM,Flood,SOM,Somalia,2013-05-01,2013-05-16,7,50000,,SOM_Sool
2013-0545-KEN,Flood,KEN,Kenya,2013-12-01,2013-12-01,14,,,
2015-0153-RWA,Flood,RWA,Rwanda,2015-04-03,2015-04-03,2,3425,,
2015-0578-BDI,Flood,BDI,Burundi,2015-11-01,2016-02-01,52,4179,,
2016-0060-TZA,Flood,TZA,United Republic of Tanzania,2016-02-10,2016-02-15,,53446,,
2016-0101-ETH,Flood,ETH,Ethiopia,2016-04-02,2016-04-07,28,2000,Afar,ETH_Afar
2016-0101-ETH,Flood,ETH,Ethiopia,2016-04-02,2016-04-07,28,2000,Amhara,ETH_Amhara
2016-0101-ETH,Flood,ETH,Ethiopia,2016-04-02,2016-04-07,28,2000,Tigray,ETH_Tigray
2016-0101-ETH,Flood,ETH,Ethiopia,2016-04-02,2016-04-07,28,2000,Oromia,ETH_Oromia
2016-0149-RWA,Flood,RWA,Rwanda,2016-01-01,2016-04-01,67,,,
2017-0395-UGA,Flood,UGA,Uganda,2017-09-20,2017-09-27,17,,Rukungiri,UGA_Western Region
2018-0065-BDI,Flood,BDI,Burundi,2018-01-14,2018-01-24,,12000,Bujumbura Mairie,BDI_Bujumbura Mairie
2018-0065-BDI,Flood,BDI,Burundi,2018-01-14,2018-01-24,,12000,Bujumbura Rural,BDI_Bujumbura Rural
2018-0065-BDI,Flood,BDI,Burundi,2018-01-14,2018-01-24,,12000,Bururi,BDI_Bururi
2018-0065-BDI,Flood,BDI,Burundi,2018-01-14,2018-01-24,,12000,Cibitoke,BDI_Cibitoke
2018-0065-BDI,Flood,BDI,Burundi,2018-01-14,2018-01-24,,12000,Rutana,BDI_Rutana
2018-0065-BDI,Flood,BDI,Burundi,2018-01-14,2018-01-24,,12000,Ruyigi,BDI_Ruyigi
2018-0065-BDI,Flood,BDI,Burundi,2018-01-14,2018-01-24,,12000,,BDI_Muyinga
2018-0148-KEN,Flood,KEN,Kenya,2018-05-09,2018-05-10,47,,,
2018-0221-SDN,Flood,SDN,Sudan,2018-06-18,2018-06-27,,350,,
2018-0477-RWA,Flood,RWA,Rwanda,2018-04-01,2018-04-16,10,,,
2018-0479-BDI,Flood,BDI,Burundi,2018-05-04,2018-05-09,,12956,,
2019-0049-BDI,Flood,BDI,Burundi,2019-01-17,2019-01-21,10,,,
2020-0016-MDG,Flood,MDG,Madagascar,2020-01-01,2020-01-24,40,106846,,
2020-0037-TZA,Flood,TZA,United Republic of Tanzania,2020-01-27,2020-02-03,29,28258,Lindi,TZA_Lindi
2020-0037-TZA,Flood,TZA,United Republic of Tanzania,2020-01-27,2020-02-03,29,28258,Mtwara,TZA_Mtwara
2020-0037-TZA,Flood,TZA,United Republic of Tanzania,2020-01-27,2020-02-03,29,28258,Ruvuma,TZA_Ruvuma
2020-0037-TZA,Flood,TZA,United Republic of Tanzania,2020-01-27,2020-02-03,29,28258,Iringa,TZA_Iringa
2020-0098-RWA,Flood,RWA,Rwanda,2020-03-02,2020-03-10,3,5220,,
2020-0150-DJI,Flood,DJI,Djibouti,2020-04-20,2020-04-26,8,110000,,
2020-0171-RWA,Flood,RWA,Rwanda,2020-04-17,2020-04-25,9,,,
2020-0172-BDI,Flood,BDI,Burundi,2020-04-13,2020-04-19,,27000,Bubanza,BDI_Bubanza
2020-0172-BDI,Flood,BDI,Burundi,2020-04-13,2020-04-19,,27000,Bujumbura Mairie,BDI_Bujumbura Mairie
2020-0172-BDI,Flood,BDI,Burundi,2020-04-13,2020-04-19,,27000,Cibitoke,BDI_Cibitoke
2020-0172-BDI,Flood,BDI,Burundi,2020-04-13,2020-04-19,,27000,,BDI_Bujumbura Rural
2020-0172-BDI,Flood,BDI,Burundi,2020-04-13,2020-04-19,,27000,,BDI_Muyinga
2020-0320-SOM,Flood,SOM,Somalia,2020-06-15,2020-07-20,6,191000,Bakool,SOM_Bakool
2020-0320-SOM,Flood,SOM,Somalia,2020-06-15,2020-07-20,6,191000,Bay,SOM_Bay
2020-0320-SOM,Flood,SOM,Somalia,2020-06-15,2020-07-20,6,191000,Banadir,SOM_Banadir
2020-0320-SOM,Flood,SOM,Somalia,2020-06-15,2020-07-20,6,191000,Gedo,SOM_Gedo
2020-0320-SOM,Flood,SOM,Somalia,2020-06-15,2020-07-20,6,191000,Hiraan,SOM_Hiiraan
2020-0320-SOM,Flood,SOM,Somalia,2020-06-15,2020-07-20,6,191000,,SOM_Galgaduud
2020-0320-SOM,Flood,SOM,Somalia,2020-06-15,2020-07-20,6,191000,,SOM_Mudug
2020-0320-SOM,Flood,SOM,Somalia,2020-06-15,2020-07-20,6,191000,,SOM_Sool
2020-0320-SOM,Flood,SOM,Somalia,2020-06-15,2020-07-20,6,191000,,SOM_Togdheer
2020-0362-SSD,Flood,SSD,South Sudan,2020-07-01,2020-12-01,,1042000,Unity,SSD_Unity
2020-0362-SSD,Flood,SSD,South Sudan,2020-07-01,2020-12-01,,1042000,Central Equatoria,SSD_Central Equatoria
2020-0362-SSD,Flood,SSD,South Sudan,2020-07-01,2020-12-01,,1042000,Northern Bahr El Ghazal,SSD_Northern Bahr el Gha
